# ref_schools — India schools seed (Build 2b, T1: chains + CISCE + curated).
# Sources: deedy/cbse_schools_data + deedy/cisce_schools_data (both CC-BY-SA-4.0). School
# names + districts are public CBSE/government FACTS (not copyrightable); re-expressed and
# normalized here, used as facts WITH attribution. Underlying authority: CBSE / CISCE.
# Tags: deedy rows source='deedy', curated international top-up source='seed'.
# Name format: '{Title name}, {District}, {State}' (CBSE chains) / '{name}, {State}' (CISCE,
# no district column) / '{name}, {City}, {State}' (curated). LENIENT field — never blocks signup.
name,aliases,source
"Bangalore International School, Karnataka",{},deedy
"Bangalore Public School, Karnataka",{},deedy
"Banshidhar Parasnath Dav Public School, Garhwa, Jharkhand","{""DAV""}",deedy
"Baring School, Punjab",{},deedy
"Barnes School & Junior College, Maharashtra",{},deedy
"Barrows' Blue Bells School, Uttar Pradesh",{},deedy
"Basavarajeswari Public School & College, Karnataka",{},deedy
"Beachwood School, West Bengal",{},deedy
"Beacon High School, Maharashtra",{},deedy
"Beena Vaidya International Public School, Karnataka",{},deedy
"Belda English Medium School, West Bengal",{},deedy
"Bell Toll Public School, Haryana",{},deedy
"Belle Vue Boarding School, West Bengal",{},deedy
"Belpahar English Medium School, Odisha",{},deedy
"Benhur High School, Uttar Pradesh",{},deedy
"Bethany Academy, Kerala",{},deedy
"Bethany Convent School, Odisha",{},deedy
"Bethany High School, Karnataka",{},deedy
"Bethany School, Andhra Pradesh",{},deedy
"Bethany School, West Bengal",{},deedy
"Bethel International Public School, Karnataka",{},deedy
"Bethesda International School, Karnataka",{},deedy
"Bgs Model Public School, Karnataka",{},deedy
"Bhadra Sheela Memorial Institutions, West Bengal",{},deedy
"Bhageerathi Bai Narayana Rao Maanay Public School, Karnataka",{},deedy
"Bhagirathi Dass Dav Public School, Kangra, Himachal Pradesh","{""DAV""}",deedy
"Bhagwan Mahaveer Dayaniketan Jain School, Tamilnadu",{},deedy
"Bhagwanti Education Centre, Uttar Pradesh",{},deedy
"Bhaktivedanta Gurukula And International School, Uttar Pradesh",{},deedy
"Bhaktivedanta Swami Mission School, Maharashtra",{},deedy
"Bharat Academy &Sciences, West Bengal",{},deedy
"Bharathi Vidhyaa Kendhra School, Tamilnadu",{},deedy
"Bhoomi Public School, Karnataka",{},deedy
"Bhuvanagiri Public School, Andhra Pradesh",{},deedy
"Bidhan School, West Bengal",{},deedy
"Billabong High International School, Gujarat",{},deedy
"Billabong High International School, Madhya Pradesh",{},deedy
"Billabong High International School, Maharashtra",{},deedy
"Birsa Munda D.A.V. Residential Public School, Ranchi, Jharkhand","{""DAV""}",deedy
"Bishop Cotton Boys' School, Karnataka",{},deedy
"Bishop Cotton Girls' School, Karnataka",{},deedy
"Bishop Cotton School, Himachal Pradesh",{},deedy
"Bishop George School, Uttar Pradesh",{},deedy
"Bishop Hartmann Academy, Jharkhand",{},deedy
"Bishop Johnson School & College, Uttar Pradesh",{},deedy
"Bishop Moore Vidyapith, Kerala",{},deedy
"Bishop Morrow School, West Bengal",{},deedy
"Bishop Sargant School, Karnataka",{},deedy
"Bishop Sargeant Central School, Karnataka",{},deedy
"Bishop Speechly Vidyapeeth, Kerala",{},deedy
"Bishop Westcott Boys' School, Jharkhand",{},deedy
"Bishop Westcott Girls' School, Jharkhand",{},deedy
"Bishop Westcott School, Jharkhand",{},deedy
"Bishop Westcott School, Uttar Pradesh",{},deedy
"Bishop's School, Jharkhand",{},deedy
"Blessed Sacrament High School, Odisha",{},deedy
"Blooming Buds Co-Ed. School, Uttar Pradesh",{},deedy
"Bloomingdale International School, Maharashtra",{},deedy
"Blue Bells Public School, Uttar Pradesh",{},deedy
"Blue Ridge Public School, Maharashtra",{},deedy
"Bobson Public School, Uttar Pradesh",{},deedy
"Bombay International School, Maharashtra",{},deedy
"Bombay Scottish School, Maharashtra",{},deedy
"Boon English School, West Bengal",{},deedy
"Boys' High School & College, Uttar Pradesh",{},deedy
"Brains Convent School, Uttar Pradesh",{},deedy
"Brightlands School, Uttarakhand",{},deedy
"Brijwasi Scholars' Cambridge, Uttarakhand",{},deedy
"Brindavan Boarding School, West Bengal",{},deedy
"Brindavan Public School, Tamilnadu",{},deedy
"Brindavan Vidyalaya, Tamilnadu",{},deedy
"British Convent School, Punjab",{},deedy
"British International School, Punjab",{},deedy
"Brl Dav Public School, Bokaro, Jharkhand","{""DAV""}",deedy
"Brooklyn National Public School, Karnataka",{},deedy
"Brooklyn School, Uttarakhand",{},deedy
"Budge Budge St. Paul's Day School, West Bengal",{},deedy
"Burdwan Holy Child School, West Bengal",{},deedy
"C S Dav Public School, Champaran East, Bihar","{""DAV""}",deedy
"C.L. Sachdeva Dav Centenary Pub Sch, Faridkot, Punjab","{""DAV""}",deedy
"C.R. D.A.V. Public Sen. Sec. School, Sirsa, Haryana","{""DAV""}",deedy
"C.p. Vidya Niketan, Uttar Pradesh",{},deedy
"Caelum High School, Maharashtra",{},deedy
"Calcutta Boys' School, West Bengal",{},deedy
"Calcutta Girls' High School, West Bengal",{},deedy
"Calcutta International School, Kolkata, West Bengal",{},seed
"Calcutta Public School, West Bengal",{},deedy
"California Public School, Karnataka",{},deedy
"California Public School, Punjab",{},deedy
"Cambrian Hall, Uttarakhand",{},deedy
"Cambridge English School, West Bengal",{},deedy
"Cambridge Public School, Karnataka",{},deedy
"Cambridge Public School, Uttar Pradesh",{},deedy
"Cambridge School, Karnataka",{},deedy
"Cambridge School, Maharashtra",{},deedy
"Cambridge School, Odisha",{},deedy
"Camellia School, West Bengal",{},deedy
"Campion School, Maharashtra",{},deedy
"Campus School, Uttar Pradesh",{},deedy
"Canadian International School, Bengaluru, Karnataka",{},seed
"Captain's School Of Excellence, Punjab",{},deedy
"Career Convent College, Uttar Pradesh",{},deedy
"Career Convent Girl's College, Uttar Pradesh",{},deedy
"Carman Res. & Day School, Uttarakhand",{},deedy
"Carmel Academy, Karnataka",{},deedy
"Carmel Academy, Kerala",{},deedy
"Carmel Convent English Medium High School, Chattisgarh",{},deedy
"Carmel Convent High School, West Bengal",{},deedy
"Carmel Convent School, Himachal Pradesh",{},deedy
"Carmel Convent School, Karnataka",{},deedy
"Carmel Convent School, Odisha",{},deedy
"Carmel Convent Senior Secondary School, Chattisgarh",{},deedy
"Carmel English Medium School, Kerala",{},deedy
"Carmel English Medium School, Odisha",{},deedy
"Carmel High School, Bihar",{},deedy
"Carmel High School, Karnataka",{},deedy
"Carmel High School, West Bengal",{},deedy
"Carmel International School, Kerala",{},deedy
"Carmel International School, Tamilnadu",{},deedy
"Carmel Junior College, Jharkhand",{},deedy
"Carmel Public School, Chattisgarh",{},deedy
"Carmel Public School, Tamilnadu",{},deedy
"Carmel School, Assam",{},deedy
"Carmel School, Bihar",{},deedy
"Carmel School, Jharkhand",{},deedy
"Carmel School, Karnataka",{},deedy
"Carmel School, Odisha",{},deedy
"Carmel School, Uttar Pradesh",{},deedy
"Carmel School, Uttarakhand",{},deedy
"Carmel School, West Bengal",{},deedy
"Casterbridge School, Uttar Pradesh",{},deedy
"Cathedral & John Connon School, Maharashtra",{},deedy
"Cathedral College, Uttar Pradesh",{},deedy
"Cauvery Primary & High School, Karnataka",{},deedy
"Cauvery Public School, Karnataka",{},deedy
"Cedar Spring High School, Punjab",{},deedy
"Ceedeeyes Dav Public School, Kancheepuram, Tamilnadu","{""DAV""}",deedy
"Central Academy, Uttar Pradesh",{},deedy
"Central Malwa Academy, Madhya Pradesh",{},deedy
"Central Modern School, West Bengal",{},deedy
"Chaitanya Vidyalaya, Andhra Pradesh",{},deedy
"Chatrabhuj Narsee Memorial School, Maharashtra",{},deedy
"Chavara International Academy, Kerala",{},deedy
"Chavara International School, Kerala",{},deedy
"Chettinad Hari Shree Vidyalayam, Tamilnadu",{},deedy
"Chettinad Vidyashram, Chennai, Tamil Nadu",{},seed
"Children College, Uttar Pradesh",{},deedy
"Children Garden Play School, Rajasthan",{},deedy
"Children Memorial Dav Public School, Sirsa, Haryana","{""DAV""}",deedy
"Children Of The New Dawn, Jharkhand",{},deedy
"Children's Academy, Maharashtra",{},deedy
"Children's Academy, Rajasthan",{},deedy
"Children's Centre Of Integral Education, Odisha",{},deedy
"Children's Foundation School, West Bengal",{},deedy
"Chinmaya Vidyalaya (E.M.), Odisha",{},deedy
"Chinmaya Vidyalaya, Karnataka",{},deedy
"Chinmaya Vidyalaya, Kerala",{},deedy
"Chirec International School, Hyderabad, Telangana","{""CHIREC""}",seed
"Christ Academy I.c.s.e. School, Karnataka",{},deedy
"Christ Academy, Maharashtra",{},deedy
"Christ Academy, Uttarakhand",{},deedy
"Christ Church College, Uttar Pradesh",{},deedy
"Christ Church High School, Bihar",{},deedy
"Christ Church Jabalpur Diocesan High School, Madhya Pradesh",{},deedy
"Christ Church School For Boys & Girls, Madhya Pradesh",{},deedy
"Christ Church School, Maharashtra",{},deedy
"Christ International School, Karnataka",{},deedy
"Christ International School, Tamilnadu",{},deedy
"Christ Jyoti Convent School, Punjab",{},deedy
"Christ King Convent School, Punjab",{},deedy
"Christ King School, Arunachal Pradesh",{},deedy
"Christ Nagar Higher Secondary School, Kerala",{},deedy
"Christ New Life School, Kerala",{},deedy
"Christ Raja Convent School, Haryana",{},deedy
"Christ School, Karnataka",{},deedy
"Christ The King College, Uttar Pradesh",{},deedy
"Christ The King Convent School, Punjab",{},deedy
"Christ The King School, Uttar Pradesh",{},deedy
"Christ Vidyanikethan, Kerala",{},deedy
"Christian English College, Madhya Pradesh",{},deedy
"Christopher Day School, West Bengal",{},deedy
"Christu Jyothi Convent School, Uttar Pradesh",{},deedy
"Christu Jyoti Convent School, Uttar Pradesh",{},deedy
"Christukula Mission Higher Secondary School, Madhya Pradesh",{},deedy
"Chrysalis High, Karnataka",{},deedy
"Church School, Jharkhand",{},deedy
"Citizens' English School, Karnataka",{},deedy
"City Children's Academy, Uttar Pradesh",{},deedy
"City Convent School, Uttar Pradesh",{},deedy
"City English School, Odisha",{},deedy
"City International School, Maharashtra",{},deedy
"City Model College, Uttar Pradesh",{},deedy
"City Montessori High School, Uttar Pradesh",{},deedy
"City Montessori Inter College, Uttar Pradesh",{},deedy
"City Montessori School, Uttar Pradesh",{},deedy
"Clarence High School, Karnataka",{},deedy
"Clarence Public School, Karnataka",{},deedy
"Claret School, West Bengal",{},deedy
"Cluny Convent High School, Karnataka",{},deedy
"Cluny Convent School, Jharkhand",{},deedy
"Codesh School, Maharashtra",{},deedy
"Col. Brown Cambridge School, Uttarakhand",{},deedy
"Col. V.R. Mohan D.A.V. Public School, Punjab",{},deedy
"Colonel Parab's School - a gurukul, Maharashtra",{},deedy
"Colvin Taluqdars College (i.s.c. Wing), Uttar Pradesh",{},deedy
"Comorin International School, Tamilnadu",{},deedy
"Confluence World Schoolonfluence World School, Uttarakhand",{},deedy
"Constancia School, Uttarakhand",{},deedy
"Contai Public School, West Bengal",{},deedy
"Convent Of Jesus & Mary High School, Uttarakhand",{},deedy
"Convent Of Jesus And Mary, Uttarakhand",{},deedy
"Convent Of Jesus And Mary, West Bengal",{},deedy
"Coorg Public School, Karnataka",{},deedy
"Corpus Christi School, Tamilnadu",{},deedy
"Creathics Public School, Uttar Pradesh",{},deedy
"Crescent Castle Public School, Tamilnadu",{},deedy
"Cygnet Day School, West Bengal",{},deedy
"D S M School For Excellence, Jharkhand",{},deedy
"D.A.V International School, Ahmedabad, Ahmedabad, Gujarat","{""DAV""}",deedy
"D.A.V Krb Public School, Moga, Punjab","{""DAV""}",deedy
"D.A.V Public School Secl Korba, Korba, Chattisgarh","{""DAV""}",deedy
"D.A.V Public School, South West Delhi, Delhi","{""DAV""}",deedy
"D.A.V. Academy, Faizabad, Uttar Pradesh","{""DAV""}",deedy
"D.A.V. Centenary Public School, Karnal, Haryana","{""DAV""}",deedy
"D.A.V. Centenary Public School, Sri Ganganagar, Rajasthan","{""DAV""}",deedy
"D.A.V. Hzl Sr. Secondary School, Rajasmand, Rajasthan","{""DAV""}",deedy
"D.A.V. Model School, Mansa, Punjab","{""DAV""}",deedy
"D.A.V. Nageshwar Public School, Ranchi, Jharkhand","{""DAV""}",deedy
"D.A.V. Police Public School, Panipat, Haryana","{""DAV""}",deedy
"D.A.V. Public Model School, UNA, Himachal Pradesh","{""DAV""}",deedy
"D.A.V. Public School Bacheli, Dantewada, Chattisgarh","{""DAV""}",deedy
"D.A.V. Public School, Birbhum, West Bengal","{""DAV""}",deedy
"D.A.V. Public School, Gulbarga, Karnataka","{""DAV""}",deedy
"D.A.V. Public School, Gumla, Gumla, Jharkhand","{""DAV""}",deedy
"D.A.V. Public School, Gurgaon, Haryana","{""DAV""}",deedy
"D.A.V. Public School, Keonjhar, Odisha","{""DAV""}",deedy
"D.A.V. Public School, Khurda, Odisha","{""DAV""}",deedy
"D.A.V. Public School, Koriya, Chattisgarh","{""DAV""}",deedy
"D.A.V. Public School, Mansa, Punjab","{""DAV""}",deedy
"D.A.V. Public School, Muzaffarnagar, Uttar Pradesh","{""DAV""}",deedy
"D.A.V. Public School, Ratia, Fatehabad, Haryana","{""DAV""}",deedy
"D.A.V. Public School, Samastipur, Bihar","{""DAV""}",deedy
"D.A.V. Public School, South Delhi, Delhi","{""DAV""}",deedy
"D.A.V. Public School, Visakhapatnam, Andhra Pradesh","{""DAV""}",deedy
"D.A.V. Public School,Sec-Vi, Bokaro, Jharkhand","{""DAV""}",deedy
"D.A.V. School, Kancheepuram, Tamilnadu","{""DAV""}",deedy
"D.A.V.Centenary Public School, Haridwar, Uttarakhand","{""DAV""}",deedy
"D.A.V.Centenary Public School, Meerut, Uttar Pradesh","{""DAV""}",deedy
"D.A.V.Centenary Public School, North West Delhi, Delhi","{""DAV""}",deedy
"D.A.V.Edward Ganj Public School, Punjab","{""DAV""}",deedy
"D.A.V.M.Public School Badhal Thore, Kangra, Himachal Pradesh","{""DAV""}",deedy
"D.A.V.Model Sr.Sec.School, Kurali, Ropar, Punjab","{""DAV""}",deedy
"D.A.V.Public School, Korba, Chattisgarh","{""DAV""}",deedy
"D.A.V.Public School, Robertsganj, Sonebhadra, Uttar Pradesh","{""DAV""}",deedy
"D.A.V.Public Sen.Sec.School Bharoli, Kangra, Himachal Pradesh","{""DAV""}",deedy
"D.C. Lewis Memorial School, Uttar Pradesh",{},deedy
"D.P.S. International School, Singapore",{},deedy
"D.b.m.s. English School, Jharkhand",{},deedy
"Dabble College, Uttar Pradesh",{},deedy
"Daffodils Concept School, Karnataka",{},deedy
"Daffodils English School, Karnataka",{},deedy
"Dagshai Public School, Himachal Pradesh",{},deedy
"Daisies School, West Bengal",{},deedy
"Daniel Public School, Odisha",{},deedy
"Daratassalam International Delhi Public School, Riyadh, Saudi Arabia, Foreign Schools","{""DPS"",""Delhi Public School""}",deedy
"Darsana Cmi International School, Kerala",{},deedy
"Dav Alok Public School, Ranchi, Jharkhand","{""DAV""}",deedy
"Dav Borl Public School, Sagar, Madhya Pradesh","{""DAV""}",deedy
"Dav Burhar Public School, Shahdol, Madhya Pradesh","{""DAV""}",deedy
"Dav Centenary Public School, Ajmer, Rajasthan","{""DAV""}",deedy
"Dav Centenary Public School, Delhi","{""DAV""}",deedy
"Dav Centenary Public School, Fatehabad, Haryana","{""DAV""}",deedy
"Dav Centenary Public School, Hanumangarh, Rajasthan","{""DAV""}",deedy
"Dav Centenary Public School, Jaipur, Rajasthan","{""DAV""}",deedy
"Dav Centenary Public School, Jind, Haryana","{""DAV""}",deedy
"Dav Centenary Public School, Karnal, Haryana","{""DAV""}",deedy
"Dav Centenary Public School, Katni, Madhya Pradesh","{""DAV""}",deedy
"Dav Centenary Public School, Kinnaur, Himachal Pradesh","{""DAV""}",deedy
"Dav Centenary Public School, Nainital, Uttarakhand","{""DAV""}",deedy
"Dav Centenary Public School, Patiala, Punjab","{""DAV""}",deedy
"Dav Centenary Public School, Simla, Himachal Pradesh","{""DAV""}",deedy
"Dav Centenary Public School, Sirsa, Haryana","{""DAV""}",deedy
"Dav Centenary Public School, Sri Ganganagar, Rajasthan","{""DAV""}",deedy
"Dav Centenary Public School, Yamunanagar, Haryana","{""DAV""}",deedy
"Dav Centernary Public School, Kurukeshtra, Haryana","{""DAV""}",deedy
"Dav Fertilizer Public School, Uttar Pradesh","{""DAV""}",deedy
"Dav Global School, Patiala, Punjab","{""DAV""}",deedy
"Dav Hcl Public School Malanjkhand, Balaghat, Madhya Pradesh","{""DAV""}",deedy
"Dav Hzl Sr.Secondary School, Zawar Mines, Udaipur, Udaipur, Rajasthan","{""DAV""}",deedy
"Dav International School , Mesra,Ranchi, Ranchi, Jharkhand","{""DAV""}",deedy
"Dav International School, Amritsar, Punjab","{""DAV""}",deedy
"Dav International School, Raigad, Maharashtra","{""DAV""}",deedy
"Dav Ispat Public School, Nandini, Durg, Chattisgarh","{""DAV""}",deedy
"Dav Ispat Senior Secondary Public School, Balod, Chattisgarh","{""DAV""}",deedy
"Dav Mahatma Anand Swami Public School Totu Shimla, Simla, Himachal Pradesh","{""DAV""}",deedy
"Dav Model School, Chandigarh(Ut), Chandigarh","{""DAV""}",deedy
"Dav Model School, Delhi","{""DAV""}",deedy
"Dav Moil Public School, Bhandara, Maharashtra","{""DAV""}",deedy
"Dav Mukhyamantri Public School, Bastar, Chattisgarh","{""DAV""}",deedy
"Dav Mukhyamantri Public School, Bilaspur, Chattisgarh","{""DAV""}",deedy
"Dav Mukhyamantri Public School, Chattisgarh","{""DAV""}",deedy
"Dav Mukhyamantri Public School, Dantewada, Chattisgarh","{""DAV""}",deedy
"Dav Mukhyamantri Public School, Jangir-Champa, Chattisgarh","{""DAV""}",deedy
"Dav Mukhyamantri Public School, Jashpur, Chattisgarh","{""DAV""}",deedy
"Dav Mukhyamantri Public School, Kawardha, Chattisgarh","{""DAV""}",deedy
"Dav Mukhyamantri Public School, Korba, Chattisgarh","{""DAV""}",deedy
"Dav Mukhyamantri Public School, Koriya, Chattisgarh","{""DAV""}",deedy
"Dav Mukhyamantri Public School, Raigarh, Chattisgarh","{""DAV""}",deedy
"Dav Mukhyamantri Public School, Raipur, Chattisgarh","{""DAV""}",deedy
"Dav Mukhyamantri Public School, Surguja, Chattisgarh","{""DAV""}",deedy
"Dav Multi Purpose Public School, Sonepat, Haryana","{""DAV""}",deedy
"Dav Nandraj Public School, Ranchi, Jharkhand","{""DAV""}",deedy
"Dav Police Public School, Gurgaon, Haryana","{""DAV""}",deedy
"Dav Police Public School, Rewari, Haryana","{""DAV""}",deedy
"Dav Police Public School,Hisar, Hissar, Haryana","{""DAV""}",deedy
"Dav Pub School, Chattisgarh","{""DAV""}",deedy
"Dav Public School Badshahpur Mandi (Ugoke), Patiala, Punjab","{""DAV""}",deedy
"Dav Public School Bhagalpur, Bhagalpur, Bihar","{""DAV""}",deedy
"Dav Public School Bikramganj, Rohtas, Bihar","{""DAV""}",deedy
"Dav Public School Lakhisarai, Lakhisarai, Bihar","{""DAV""}",deedy
"Dav Public School Lukhi, Kurukeshtra, Haryana","{""DAV""}",deedy
"Dav Public School Tiara, Kangra, Himachal Pradesh","{""DAV""}",deedy
"Dav Public School, Alwar, Rajasthan","{""DAV""}",deedy
"Dav Public School, Amritsar, Punjab","{""DAV""}",deedy
"Dav Public School, Angul, Odisha","{""DAV""}",deedy
"Dav Public School, Aurangabad, Bihar","{""DAV""}",deedy
"Dav Public School, Balasore, Odisha","{""DAV""}",deedy
"Dav Public School, Bankura, West Bengal","{""DAV""}",deedy
"Dav Public School, Bazpur, Udham Singh Nagar, Uttarakhand","{""DAV""}",deedy
"Dav Public School, Begusarai, Bihar","{""DAV""}",deedy
"Dav Public School, Bhagalpur, Bihar","{""DAV""}",deedy
"Dav Public School, Bilaspur, Himachal Pradesh","{""DAV""}",deedy
"Dav Public School, Bokaro, Jharkhand","{""DAV""}",deedy
"Dav Public School, Bolangir, Odisha","{""DAV""}",deedy
"Dav Public School, Burdwan, West Bengal","{""DAV""}",deedy
"Dav Public School, Buxar, Bihar","{""DAV""}",deedy
"Dav Public School, Calcutta, West Bengal","{""DAV""}",deedy
"Dav Public School, Chamba, Himachal Pradesh","{""DAV""}",deedy
"Dav Public School, Champaran East, Bihar","{""DAV""}",deedy
"Dav Public School, Chatra, Jharkhand","{""DAV""}",deedy
"Dav Public School, Cuttack, Odisha","{""DAV""}",deedy
"Dav Public School, Darbhanga, Bihar","{""DAV""}",deedy
"Dav Public School, Delhi","{""DAV""}",deedy
"Dav Public School, Dhanbad, Jharkhand","{""DAV""}",deedy
"Dav Public School, Dumraon, Buxar, Bihar","{""DAV""}",deedy
"Dav Public School, Faridabad, Haryana","{""DAV""}",deedy
"Dav Public School, Gautam Budh Nagar, Uttar Pradesh","{""DAV""}",deedy
"Dav Public School, Gaya, Bihar","{""DAV""}",deedy
"Dav Public School, Ghaziabad, Uttar Pradesh","{""DAV""}",deedy
"Dav Public School, Gopalganj, Bihar","{""DAV""}",deedy
"Dav Public School, Hapur, Uttar Pradesh","{""DAV""}",deedy
